session_id;username;time;position_x;position_y;position_z;velocity_x;velocity_y;velocity_z;rotation_x;rotation_y;rotation_z;rotation_w;current_lap
0;carlos;30/11/2019 21:10:57;333,6349;0;398,8519;0;0;0;0;0,6313978;0;0,7754592;0
0;carlos;30/11/2019 21:10:58;333,8968;0,05715701;398,8991;1,026686;-0,0004105685;0,2075324;-0,001926684;0,6326771;0,001604304;0,7744117;0
0;carlos;30/11/2019 21:10:59;336,5858;0,1076449;399,1628;4,680765;-0,2917469;0,5986516;0,01068985;0,6617306;-0,01508489;0,7495137;0
0;carlos;30/11/2019 21:11:00;344,1299;0,0546436;399,8753;10,29184;-0,00187507;0,985172;-0,001649235;0,6723726;0,001500614;0,7402095;0
0;carlos;30/11/2019 21:11:01;357,2971;0,05261445;401,0793;15,87801;-0,001927447;1,255826;-0,001581716;0,6795879;0,001448356;0,7335911;0
0;carlos;30/11/2019 21:11:02;361,7121;0,05680731;401,4341;-2,898472;0,005059787;-0,198582;-0,001981763;0,6825145;0,00185211;0,730867;0
0;carlos;30/11/2019 21:11:03;356,32;0,05572435;401,1032;-7,693284;-0,001989907;-0,08077938;-0,001910055;0,704794;0,001906194;0,7094069;0
0;carlos;30/11/2019 21:11:04;346,352;0,05415352;400,8962;-11,9762;-0,001508729;-1,122396;-0,002124641;0,6626172;0,001584463;0,7489535;0
0;carlos;30/11/2019 21:11:05;332,4394;0,2303079;399,0362;-15,34682;1,119039;-2,333585;0,009602931;0,6604489;-0,0193673;0,7505598;0
0;carlos;30/11/2019 21:11:06;316,12;0,05285054;398,3163;-16,31839;0,00702007;0,3216614;-0,001753735;0,7155065;0,001823567;0,6986015;1
0;carlos;30/11/2019 21:11:07;300,6434;0,05301216;398,701;-14,69677;0,0005541663;0,3909305;-0,001672061;0,7164919;0,00171838;0,6975914;1
1;isaac v.3;01/12/2019 14:16:28;333,6349;0;398,8519;0;0;0;0;0,6313978;0;0,7754592;0
1;isaac v.3;01/12/2019 14:16:29;333,9231;0,05717519;398,8639;0,9651822;-6,812569E-05;-0,06572974;-0,001982459;0,6417359;0,001588099;0,7669216;0
1;isaac v.3;01/12/2019 14:16:30;336,3962;0,120357;398,8099;4,404927;-0,09045035;-0,7765715;0,01635752;0,7044833;-0,01642248;0,709342;0
1;isaac v.3;01/12/2019 14:16:31;343,6899;0,05467065;398,0214;10,20811;-0,001860764;-0,800034;-0,001515308;0,7341478;0,00163646;0,6789861;0
1;isaac v.3;01/12/2019 14:16:32;356,7073;0,05272064;397,7623;15,60038;-0,00181151;0,3869368;-0,00137756;0,7032224;0,001672834;0,7109667;0
1;isaac v.3;01/12/2019 14:16:33;374,6229;0,05101557;399,8235;20,23418;-0,001700079;1,950127;-0,001523545;0,6706917;0,001424335;0,7417333;0
1;isaac v.3;01/12/2019 14:16:34;396,7112;0,04951296;396,621;22,7088;-0,0008230256;-8,951139;-0,001702436;0,8285597;0,001348041;0,5598965;0
1;isaac v.3;01/12/2019 14:16:35;418,5319;0,04808913;381,8424;21,78917;-0,00139358;-18,15149;-0,0009084692;0,909125;0,001747608;0,4165187;0
1;isaac v.3;01/12/2019 14:16:36;435,786;0,04696918;357,7055;14,24778;-0,0006378326;-27,94361;-0,001042887;0,9733828;0,001776226;0,229176;0
1;isaac v.3;01/12/2019 14:16:37;437,4814;0,04601121;325,7899;-8,65072;-0,0006630991;-32,91958;-0,0003885728;0,9878945;0,001989834;-0,1551144;0
1;isaac v.3;01/12/2019 14:16:38;418,1979;0,04518634;298,331;-25,27631;0,003827843;-23,00482;0,0007286569;0,9135835;0,00191877;-0,4066461;0
1;isaac v.3;01/12/2019 14:16:39;389,0235;0,3365521;278,1022;-31,43725;1,759479;-17,79799;-0,04969343;0,8590697;0,05607159;-0,5063455;0
1;isaac v.3;01/12/2019 14:16:40;365,6402;0,04664558;255,686;-7,111278;0,0132454;-30,25393;0,001221651;0,9980434;0,001984879;-0,06248326;0
1;isaac v.3;01/12/2019 14:16:41;370,7015;3,04734;224,8389;8,858029;4,649894;-29,72585;-0,2517872;0,9523486;0,05564509;0,1629078;0
