session_id;username;session_start;session_end
0;Gerard;26/11/2019 22:44:28;26/11/2019 22:45:20
1;Gerard;26/11/2019 22:45:22;26/11/2019 22:45:25
2;Gerard;26/11/2019 22:45:27;26/11/2019 22:45:30
0;;27/11/2019 20:34:20;27/11/2019 20:34:32
1;;27/11/2019 20:38:43;27/11/2019 20:38:56
2;;27/11/2019 20:39:44;27/11/2019 20:39:53
3;;27/11/2019 20:40:15;27/11/2019 20:40:20
0;rubensr1;27/11/2019 21:34:48;27/11/2019 21:35:13
1;rubensr1;27/11/2019 21:39:44;27/11/2019 21:39:58
2;rubensr1;27/11/2019 21:40:31;27/11/2019 21:40:39
0;Spongebob;27/11/2019 21:44:51;27/11/2019 21:49:07
0;;;27/11/2019 21:50:54
0;Putin;27/11/2019 21:55:17;27/11/2019 21:55:19
0;w w;27/11/2019 21:55:28;27/11/2019 21:55:33
0;isaac 2;28/11/2019 16:42:59;28/11/2019 16:43:15
0;aznar;28/11/2019 16:49:03;28/11/2019 16:49:10
0;Aznar;28/11/2019 16:50:03;28/11/2019 16:50:07
1;Aznar;28/11/2019 16:50:31;28/11/2019 16:51:30
0;Carlitos;28/11/2019 16:53:50;28/11/2019 16:55:17
